Respondent_ID,Respondent_Type,Business_Size,AI_Adoption,Chatbots_Used,Predictive_Analytics_Used,Content_Creation_Used,SEO_Tools_Used,Email_Marketing_Used,PPC_Ads_Used,Benefit_ROI,Benefit_Personalization,Benefit_Time_Savings,Benefit_Engagement,Benefit_Targeting,Challenge_Costs,Challenge_Expertise,Challenge_Security,Challenge_Skills,Satisfaction_Level,Exposure_Personalized_Ads,Exposure_Chatbots,Trust_AI_Campaigns,Purchase_Intent,Perception_Personalization,Qualitative_Themes
1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,1,1,0,0,4,0,0,,,1,Lack of technical skills hinders AI utilization
2,1,2,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,5,0,0,,,1,AI streamlines campaign management
3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,,0,0,,,2,Uncertain about AI benefits due to costs
4,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,3,0,0,,,2,Need training to maximize AI benefits
5,1,2,1,0,1,0,0,0,1,1,0,1,0,1,1,0,1,0,4,0,0,,,1,AI enhances ad targeting precision
6,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,3,0,0,,,2,AI tools require skilled staff
7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,,0,0,,,3,Limited awareness of AI applications
8,1,2,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,5,0,0,,,1,AI improves customer interaction
9,1,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,4,0,0,,,1,AI reduces manual effort
10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,,0,0,,,2,Interested in AI but lacks resources
11,2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,4,4,1,Personalized ads feel engaging
12,2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,3,3,2,Chatbots are helpful but impersonal
13,2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,2,2,3,Ads feel intrusive
14,2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,4,5,1,AI makes shopping convenient
